GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.service.impl,RoomServiceImpl,0,60,0,6,0,17,0,8,0,5
ticket-service,com.epam.training.ticketservice.service.impl,MovieServiceImpl,0,60,0,6,0,17,0,8,0,5
ticket-service,com.epam.training.ticketservice.service.impl,ScreeningServiceImpl,44,75,9,5,7,18,5,6,0,4
ticket-service,com.epam.training.ticketservice.service.impl,AccountServiceImpl,0,26,0,2,0,7,0,5,0,4
ticket-service,com.epam.training.ticketservice.dao.repository.entity,MovieEntity,36,0,0,0,16,0,8,0,8,0
ticket-service,com.epam.training.ticketservice.dao.repository.entity,RoomEntity,36,0,0,0,16,0,8,0,8,0
ticket-service,com.epam.training.ticketservice.dao.repository.entity,ScreeningEntity,24,0,0,0,10,0,5,0,5,0
ticket-service,com.epam.training.ticketservice.dao.repository.entity,ScreeningId,15,0,0,0,7,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.presentation.cli.commandhandler,RoomCommandHandler,22,66,0,4,6,12,3,4,3,2
ticket-service,com.epam.training.ticketservice.presentation.cli.commandhandler,ScreeningCommandHandler,93,0,4,0,17,0,6,0,4,0
ticket-service,com.epam.training.ticketservice.presentation.cli.commandhandler,AccountCommandHandler,4,36,0,4,2,11,1,5,1,3
ticket-service,com.epam.training.ticketservice.presentation.cli.commandhandler,MovieCommandHandler,22,56,0,4,6,12,3,4,3,2
ticket-service,com.epam.training.ticketservice.dao.impl,MovieDaoImpl,83,0,0,0,24,0,8,0,8,0
ticket-service,com.epam.training.ticketservice.dao.impl,ScreeningDaoImpl,126,0,4,0,31,0,8,0,6,0
ticket-service,com.epam.training.ticketservice.dao.impl,RoomDaoImpl,83,0,0,0,24,0,8,0,8,0
ticket-service,com.epam.training.ticketservice.presentation.cli,TicketServicePromptProvider,8,0,0,0,2,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.presentation.cli,CliApplication,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.service.component,AdminAccount,0,35,1,3,0,12,1,6,0,5
ticket-service,com.epam.training.ticketservice.domain.theatre,Room,0,21,0,0,0,8,0,4,0,4
ticket-service,com.epam.training.ticketservice.domain.theatre,Screening,0,21,0,0,0,8,0,4,0,4
ticket-service,com.epam.training.ticketservice.domain.theatre,Movie,0,21,0,0,0,8,0,4,0,4
ticket-service,com.epam.training.ticketservice.domain.theatre,ScreeningInformation,0,21,0,0,0,8,0,4,0,4
